year,period,periodName,value,footnotes,seriesID
1957,M12,December,28.47,,CUSR0000SA0
1957,M11,November,28.41,,CUSR0000SA0
1957,M10,October,28.32,,CUSR0000SA0
1957,M09,September,28.32,,CUSR0000SA0
1957,M08,August,28.28,,CUSR0000SA0
1957,M07,July,28.19,,CUSR0000SA0
1957,M06,June,28.11,,CUSR0000SA0
1957,M05,May,28,,CUSR0000SA0
1957,M04,April,27.93,,CUSR0000SA0
1957,M03,March,27.86,,CUSR0000SA0
1957,M02,February,27.8,,CUSR0000SA0
1957,M01,January,27.67,,CUSR0000SA0
1956,M12,December,27.63,,CUSR0000SA0
1956,M11,November,27.51,,CUSR0000SA0
1956,M10,October,27.51,,CUSR0000SA0
1956,M09,September,27.35,,CUSR0000SA0
1956,M08,August,27.31,,CUSR0000SA0
1956,M07,July,27.29,,CUSR0000SA0
1956,M06,June,27.15,,CUSR0000SA0
1956,M05,May,27.03,,CUSR0000SA0
1956,M04,April,26.93,,CUSR0000SA0
1956,M03,March,26.89,,CUSR0000SA0
1956,M02,February,26.86,,CUSR0000SA0
1956,M01,January,26.83,,CUSR0000SA0
1955,M12,December,26.87,,CUSR0000SA0
1955,M11,November,26.88,,CUSR0000SA0
1955,M10,October,26.82,,CUSR0000SA0
1955,M09,September,26.85,,CUSR0000SA0
1955,M08,August,26.72,,CUSR0000SA0
1955,M07,July,26.76,,CUSR0000SA0
1955,M06,June,26.71,,CUSR0000SA0
1955,M05,May,26.77,,CUSR0000SA0
1955,M04,April,26.79,,CUSR0000SA0
1955,M03,March,26.79,,CUSR0000SA0
1955,M02,February,26.82,,CUSR0000SA0
1955,M01,January,26.77,,CUSR0000SA0
1954,M12,December,26.77,,CUSR0000SA0
1954,M11,November,26.78,,CUSR0000SA0
1954,M10,October,26.72,,CUSR0000SA0
1954,M09,September,26.81,,CUSR0000SA0
1954,M08,August,26.85,,CUSR0000SA0
1954,M07,July,26.86,,CUSR0000SA0
1954,M06,June,26.94,,CUSR0000SA0
